Pixels, Value
0, 5568
0,1, 5568
0,2, 5568
0,3, 5568
0,4, 5568
0,5, 5568
0,6, 5568
0,7, 5568
0,8, 5760
0,9, 5760
1, 5760
1,1, 5760
1,2, 5760
1,3, 5760
1,4, 5760
1,5, 5760
1,6, 5760
1,7, 5760
1,8, 5696
1,9, 5696
2, 5696
2,1, 5696
2,2, 5696
2,3, 5696
2,4, 5696
2,5, 5696
2,6, 5696
2,7, 5696
2,8, 6080
2,9, 6080
3, 6080
3,1, 6080
3,2, 6080
3,3, 6080
3,4, 6080
3,5, 6080
3,6, 6080
3,7, 6080
3,8, 6144
3,9, 6144
4, 6144
4,1, 6144
4,2, 6144
4,3, 6144
4,4, 6144
4,5, 6144
4,6, 6144
4,7, 6144
4,8, 5824
4,9, 5824
5, 5824
5,1, 5824
5,2, 5824
5,3, 5824
5,4, 5824
5,5, 5824
5,6, 5824
5,7, 5824
5,8, 6208
5,9, 6208
6, 6208
6,1, 6208
6,2, 6208
6,3, 6208
6,4, 6208
6,5, 6208
6,6, 6208
6,7, 6208
6,8, 6144
6,9, 6144
7, 6144
7,1, 6144
7,2, 6144
7,3, 6144
7,4, 6144
7,5, 6144
7,6, 6144
7,7, 6144
7,8, 6400
7,9, 6400
8, 6400
8,1, 6400
8,2, 6400
8,3, 6400
8,4, 6400
8,5, 6400
8,6, 6400
8,7, 6400
8,8, 6848
8,9, 6848
9, 6848
9,1, 6848
9,2, 6848
9,3, 6848
9,4, 6848
9,5, 6848
9,6, 6848
9,7, 6848
9,8, 8000
9,9, 8000
10, 8000
10,1, 8000
10,2, 8000
10,3, 8000
10,4, 8000
10,5, 8000
10,6, 8000
10,7, 8000
10,8, 8000
10,9, 8000
11, 8000
11,1, 8000
11,2, 8000
11,3, 8000
11,4, 8000
11,5, 8000
11,6, 8000
11,7, 8000
11,8, 6336
11,9, 6336
12, 6336
12,1, 6336
12,2, 6336
12,3, 6336
12,4, 6336
12,5, 6336
12,6, 6336
12,7, 6336
12,8, 6976
12,9, 6976
13, 6976
13,1, 6976
13,2, 6976
13,3, 6976
13,4, 6976
13,5, 6976
13,6, 6976
13,7, 6976
13,8, 6080
13,9, 6080
14, 6080
14,1, 6080
14,2, 6080
14,3, 6080
14,4, 6080
14,5, 6080
14,6, 6080
14,7, 6080
14,8, 6208
14,9, 6208
15, 6208
15,1, 6208
15,2, 6208
15,3, 6208
15,4, 6208
15,5, 6208
15,6, 6208
15,7, 6208
15,8, 7360
15,9, 7360
16, 7360
16,1, 7360
16,2, 7360
16,3, 7360
16,4, 7360
16,5, 7360
16,6, 7360
16,7, 7360
16,8, 8384
16,9, 8384
17, 8384
17,1, 8384
17,2, 8384
17,3, 8384
17,4, 8384
17,5, 8384
17,6, 8384
17,7, 8384
17,8, 21440
17,9, 21440
18, 21440
18,1, 21440
18,2, 21440
18,3, 21440
18,4, 21440
18,5, 21440
18,6, 21440
18,7, 21440
18,8, 36416
18,9, 36416
19, 36416
19,1, 36416
19,2, 36416
19,3, 36416
19,4, 36416
19,5, 36416
19,6, 36416
19,7, 36416
19,8, 38272
19,9, 38272
20, 38272
20,1, 38272
20,2, 38272
20,3, 38272
20,4, 38272
20,5, 38272
20,6, 38272
20,7, 38272
20,8, 38208
20,9, 38208
21, 38208
21,1, 38208
21,2, 38208
21,3, 38208
21,4, 38208
21,5, 38208
21,6, 38208
21,7, 38208
21,8, 38912
21,9, 38912
22, 38912
22,1, 38912
22,2, 38912
22,3, 38912
22,4, 38912
22,5, 38912
22,6, 38912
22,7, 38912
22,8, 38528
22,9, 38528
23, 38528
23,1, 38528
23,2, 38528
23,3, 38528
23,4, 38528
23,5, 38528
23,6, 38528
23,7, 38528
23,8, 39232
23,9, 39232
24, 39232
24,1, 39232
24,2, 39232
24,3, 39232
24,4, 39232
24,5, 39232
24,6, 39232
24,7, 39232
24,8, 35712
24,9, 35712
25, 35712
25,1, 35712
25,2, 35712
25,3, 35712
25,4, 35712
25,5, 35712
25,6, 35712
25,7, 35712
25,8, 14656
25,9, 14656
26, 14656
26,1, 14656
26,2, 14656
26,3, 14656
26,4, 14656
26,5, 14656
26,6, 14656
26,7, 14656
26,8, 9344
26,9, 9344
27, 9344
27,1, 9344
27,2, 9344
27,3, 9344
27,4, 9344
27,5, 9344
27,6, 9344
27,7, 9344
27,8, 8320
27,9, 8320
28, 8320
28,1, 8320
28,2, 8320
28,3, 8320
28,4, 8320
28,5, 8320
28,6, 8320
28,7, 8320
28,8, 8320
28,9, 8320
29, 8320
29,1, 8320
29,2, 8320
29,3, 8320
29,4, 8320
29,5, 8320
29,6, 8320
29,7, 8320
29,8, 7744
29,9, 7744
30, 7744
30,1, 7744
30,2, 7744
30,3, 7744
30,4, 7744
30,5, 7744
30,6, 7744
30,7, 7744
30,8, 8000
30,9, 8000
31, 8000
31,1, 8000
31,2, 8000
31,3, 8000
31,4, 8000
31,5, 8000
31,6, 8000
31,7, 8000
31,8, 10432
31,9, 10432
32, 10432
32,1, 10432
32,2, 10432
32,3, 10432
32,4, 10432
32,5, 10432
32,6, 10432
32,7, 10432
32,8, 32512
32,9, 32512
33, 32512
33,1, 32512
33,2, 32512
33,3, 32512
33,4, 32512
33,5, 32512
33,6, 32512
33,7, 32512
33,8, 40128
33,9, 40128
34, 40128
34,1, 40128
34,2, 40128
34,3, 40128
34,4, 40128
34,5, 40128
34,6, 40128
34,7, 40128
34,8, 41664
34,9, 41664
35, 41664
35,1, 41664
35,2, 41664
35,3, 41664
35,4, 41664
35,5, 41664
35,6, 41664
35,7, 41664
35,8, 42880
35,9, 42880
36, 42880
36,1, 42880
36,2, 42880
36,3, 42880
36,4, 42880
36,5, 42880
36,6, 42880
36,7, 42880
36,8, 42304
36,9, 42304
37, 42304
37,1, 42304
37,2, 42304
37,3, 42304
37,4, 42304
37,5, 42304
37,6, 42304
37,7, 42304
37,8, 41600
37,9, 41600
38, 41600
38,1, 41600
38,2, 41600
38,3, 41600
38,4, 41600
38,5, 41600
38,6, 41600
38,7, 41600
38,8, 39808
38,9, 39808
39, 39808
39,1, 39808
39,2, 39808
39,3, 39808
39,4, 39808
39,5, 39808
39,6, 39808
39,7, 39808
39,8, 25728
39,9, 25728
40, 25728
40,1, 25728
40,2, 25728
40,3, 25728
40,4, 25728
40,5, 25728
40,6, 25728
40,7, 25728
40,8, 12416
40,9, 12416
41, 12416
41,1, 12416
41,2, 12416
41,3, 12416
41,4, 12416
41,5, 12416
41,6, 12416
41,7, 12416
41,8, 9664
41,9, 9664
42, 9664
42,1, 9664
42,2, 9664
42,3, 9664
42,4, 9664
42,5, 9664
42,6, 9664
42,7, 9664
42,8, 9088
42,9, 9088
43, 9088
43,1, 9088
43,2, 9088
43,3, 9088
43,4, 9088
43,5, 9088
43,6, 9088
43,7, 9088
43,8, 8576
43,9, 8576
44, 8576
44,1, 8576
44,2, 8576
44,3, 8576
44,4, 8576
44,5, 8576
44,6, 8576
44,7, 8576
44,8, 8768
44,9, 8768
45, 8768
45,1, 8768
45,2, 8768
45,3, 8768
45,4, 8768
45,5, 8768
45,6, 8768
45,7, 8768
45,8, 11712
45,9, 11712
46, 11712
46,1, 11712
46,2, 11712
46,3, 11712
46,4, 11712
46,5, 11712
46,6, 11712
46,7, 11712
46,8, 33216
46,9, 33216
47, 33216
47,1, 33216
47,2, 33216
47,3, 33216
47,4, 33216
47,5, 33216
47,6, 33216
47,7, 33216
47,8, 41344
47,9, 41344
48, 41344
48,1, 41344
48,2, 41344
48,3, 41344
48,4, 41344
48,5, 41344
48,6, 41344
48,7, 41344
48,8, 42432
48,9, 42432
49, 42432
49,1, 42432
49,2, 42432
49,3, 42432
49,4, 42432
49,5, 42432
49,6, 42432
49,7, 42432
49,8, 43456
49,9, 43456
50, 43456
50,1, 42432
50,2, 42432
50,3, 42432
50,4, 42432
50,5, 42432
50,6, 42432
50,7, 42432
50,8, 43520
50,9, 43520
51, 43520
51,1, 43520
51,2, 43520
51,3, 43520
51,4, 43520
51,5, 43520
51,6, 43520
51,7, 43520
51,8, 44800
51,9, 44800
52, 44800
52,1, 44800
52,2, 44800
52,3, 44800
52,4, 44800
52,5, 44800
52,6, 44800
52,7, 44800
52,8, 44160
52,9, 44160
53, 44160
53,1, 44160
53,2, 44160
53,3, 44160
53,4, 44160
53,5, 44160
53,6, 44160
53,7, 44160
53,8, 44608
53,9, 44608
54, 44608
54,1, 44608
54,2, 44608
54,3, 44608
54,4, 44608
54,5, 44608
54,6, 44608
54,7, 44608
54,8, 44416
54,9, 44416
55, 44416
55,1, 44416
55,2, 44416
55,3, 44416
55,4, 44416
55,5, 44416
55,6, 44416
55,7, 44416
55,8, 44480
55,9, 44480
56, 44480
56,1, 44480
56,2, 44480
56,3, 44480
56,4, 44480
56,5, 44480
56,6, 44480
56,7, 44480
56,8, 43584
56,9, 43584
57, 43584
57,1, 43584
57,2, 43584
57,3, 43584
57,4, 43584
57,5, 43584
57,6, 43584
57,7, 43584
57,8, 44352
57,9, 44352
58, 44352
58,1, 44352
58,2, 44352
58,3, 44352
58,4, 44352
58,5, 44352
58,6, 44352
58,7, 44352
58,8, 43072
58,9, 43072
59, 43072
59,1, 43072
59,2, 43072
59,3, 43072
59,4, 43072
59,5, 43072
59,6, 43072
59,7, 43072
59,8, 44864
59,9, 44864
60, 44864
60,1, 44864
60,2, 44864
60,3, 44864
60,4, 44864
60,5, 44864
60,6, 44864
60,7, 44864
60,8, 44480
60,9, 44480
61, 44480
61,1, 44480
61,2, 44480
61,3, 44480
61,4, 44480
61,5, 44480
61,6, 44480
61,7, 44480
61,8, 43840
61,9, 43840
62, 43840
62,1, 43840
62,2, 43840
62,3, 43840
62,4, 43840
62,5, 43840
62,6, 43840
62,7, 43840
62,8, 43584
62,9, 43584
63, 43584
63,1, 43584
63,2, 43584
63,3, 43584
63,4, 43584
63,5, 43584
63,6, 43584
63,7, 43584
63,8, 44160
63,9, 44160
64, 44160
64,1, 44160
64,2, 44160
64,3, 44160
64,4, 44160
64,5, 44160
64,6, 44160
64,7, 44160
64,8, 44288
64,9, 44288
65, 44288
65,1, 44288
65,2, 44288
65,3, 44288
65,4, 44288
65,5, 44288
65,6, 44288
65,7, 44288
65,8, 43904
65,9, 43904
66, 43904
66,1, 43904
66,2, 43904
66,3, 43904
66,4, 43904
66,5, 43904
66,6, 43904
66,7, 43904
66,8, 45312
66,9, 45312
67, 45312
67,1, 45312
67,2, 45312
67,3, 45312
67,4, 45312
67,5, 45312
67,6, 45312
67,7, 45312
67,8, 44352
67,9, 44352
68, 44352
68,1, 44352
68,2, 44352
68,3, 44352
68,4, 44352
68,5, 44352
68,6, 44352
68,7, 44352
68,8, 43648
68,9, 43648
69, 43648
69,1, 43648
69,2, 43648
69,3, 43648
69,4, 43648
69,5, 43648
69,6, 43648
69,7, 43648
69,8, 44352
69,9, 44352
70, 44352
70,1, 44352
70,2, 44352
70,3, 44352
70,4, 44352
70,5, 44352
70,6, 44352
70,7, 44352
70,8, 44736
70,9, 44736
71, 44736
71,1, 44736
71,2, 44736
71,3, 44736
71,4, 44736
71,5, 44736
71,6, 44736
71,7, 44736
71,8, 44800
71,9, 44800
72, 44800
72,1, 44800
72,2, 44800
72,3, 44800
72,4, 44800
72,5, 44800
72,6, 44800
72,7, 44800
72,8, 44608
72,9, 44608
73, 44608
73,1, 44608
73,2, 44608
73,3, 44608
73,4, 44608
73,5, 44608
73,6, 44608
73,7, 44608
73,8, 43200
73,9, 43200
74, 43200
74,1, 43200
74,2, 43200
74,3, 43200
74,4, 43200
74,5, 43200
74,6, 43200
74,7, 43200
74,8, 43968
74,9, 43968
75, 43968
75,1, 43968
75,2, 43968
75,3, 43968
75,4, 43968
75,5, 43968
75,6, 43968
75,7, 43968
75,8, 44288
75,9, 44288
76, 44288
76,1, 44288
76,2, 44288
76,3, 44288
76,4, 44288
76,5, 44288
76,6, 44288
76,7, 44288
76,8, 43968
76,9, 43968
77, 43968
77,1, 43968
77,2, 43968
77,3, 43968
77,4, 43968
77,5, 43968
77,6, 43968
77,7, 43968
77,8, 44224
77,9, 44224
78, 44224
78,1, 44224
78,2, 44224
78,3, 44224
78,4, 44224
78,5, 44224
78,6, 44224
78,7, 44224
78,8, 42752
78,9, 42752
79, 42752
79,1, 42752
79,2, 42752
79,3, 42752
79,4, 42752
79,5, 42752
79,6, 42752
79,7, 42752
79,8, 33280
79,9, 33280
80, 33280
80,1, 33280
80,2, 33280
80,3, 33280
80,4, 33280
80,5, 33280
80,6, 33280
80,7, 33280
80,8, 14656
80,9, 14656
81, 14656
81,1, 14656
81,2, 14656
81,3, 14656
81,4, 14656
81,5, 14656
81,6, 14656
81,7, 14656
81,8, 10240
81,9, 10240
82, 10240
82,1, 10240
82,2, 10240
82,3, 10240
82,4, 10240
82,5, 10240
82,6, 10240
82,7, 10240
82,8, 9472
82,9, 9472
83, 9472
83,1, 9472
83,2, 9472
83,3, 9472
83,4, 9472
83,5, 9472
83,6, 9472
83,7, 9472
83,8, 10304
83,9, 10304
84, 10304
84,1, 10304
84,2, 10304
84,3, 10304
84,4, 10304
84,5, 10304
84,6, 10304
84,7, 10304
84,8, 16000
84,9, 16000
85, 16000
85,1, 16000
85,2, 16000
85,3, 16000
85,4, 16000
85,5, 16000
85,6, 16000
85,7, 16000
85,8, 34496
85,9, 34496
86, 34496
86,1, 34496
86,2, 34496
86,3, 34496
86,4, 34496
86,5, 34496
86,6, 34496
86,7, 34496
86,8, 43712
86,9, 43712
87, 43712
87,1, 43712
87,2, 43712
87,3, 43712
87,4, 43712
87,5, 43712
87,6, 43712
87,7, 43712
87,8, 43136
87,9, 43136
88, 43136
88,1, 43136
88,2, 43136
88,3, 43136
88,4, 43136
88,5, 43136
88,6, 43136
88,7, 43136
88,8, 43584
88,9, 43584
89, 43584
89,1, 43584
89,2, 43584
89,3, 43584
89,4, 43584
89,5, 43584
89,6, 43584
89,7, 43584
89,8, 35136
89,9, 35136
90, 35136
90,1, 35136
90,2, 35136
90,3, 35136
90,4, 35136
90,5, 35136
90,6, 35136
90,7, 35136
90,8, 16960
90,9, 16960
91, 16960
91,1, 16960
91,2, 16960
91,3, 16960
91,4, 16960
91,5, 16960
91,6, 16960
91,7, 16960
91,8, 11072
91,9, 11072
92, 11072
92,1, 11072
92,2, 11072
92,3, 11072
92,4, 11072
92,5, 11072
92,6, 11072
92,7, 11072
92,8, 10240
92,9, 10240
93, 10240
93,1, 10240
93,2, 10240
93,3, 10240
93,4, 10240
93,5, 10240
93,6, 10240
93,7, 10240
93,8, 9408
93,9, 9408
94, 9408
94,1, 9408
94,2, 9408
94,3, 9408
94,4, 9408
94,5, 9408
94,6, 9408
94,7, 9408
94,8, 10944
94,9, 10944
95, 10944
95,1, 10944
95,2, 10944
95,3, 10944
95,4, 10944
95,5, 10944
95,6, 10944
95,7, 10944
95,8, 22592
95,9, 22592
96, 22592
96,1, 22592
96,2, 22592
96,3, 22592
96,4, 22592
96,5, 22592
96,6, 22592
96,7, 22592
96,8, 39424
96,9, 39424
97, 39424
97,1, 39424
97,2, 39424
97,3, 39424
97,4, 39424
97,5, 39424
97,6, 39424
97,7, 39424
97,8, 43520
97,9, 43520
98, 43520
98,1, 43520
98,2, 43520
98,3, 43520
98,4, 43520
98,5, 43520
98,6, 43520
98,7, 43520
98,8, 43072
98,9, 43072
99, 43072
99,1, 43072
99,2, 43072
99,3, 43072
99,4, 43072
99,5, 43072
99,6, 43072
99,7, 43072
99,8, 38336
99,9, 38336
100, 38336
100,1, 38336
100,2, 38336
100,3, 38336
100,4, 38336
100,5, 38336
100,6, 38336
100,7, 38336
100,8, 21120
100,9, 21120
101, 21120
101,1, 21120
101,2, 21120
101,3, 21120
101,4, 21120
101,5, 21120
101,6, 21120
101,7, 21120
101,8, 11904
101,9, 11904
102, 11904
102,1, 11904
102,2, 11904
102,3, 11904
102,4, 11904
102,5, 11904
102,6, 11904
102,7, 11904
102,8, 10816
102,9, 10816
103, 10816
103,1, 10816
103,2, 10816
103,3, 10816
103,4, 10816
103,5, 10816
103,6, 10816
103,7, 10816
103,8, 10048
103,9, 10048
104, 10048
104,1, 10048
104,2, 10048
104,3, 10048
104,4, 10048
104,5, 10048
104,6, 10048
104,7, 10048
104,8, 12160
104,9, 12160
105, 12160
105,1, 12160
105,2, 12160
105,3, 12160
105,4, 12160
105,5, 12160
105,6, 12160
105,7, 12160
105,8, 25984
105,9, 25984
106, 25984
106,1, 25984
106,2, 25984
106,3, 25984
106,4, 25984
106,5, 25984
106,6, 25984
106,7, 25984
106,8, 41088
106,9, 41088
107, 41088
107,1, 41088
107,2, 41088
107,3, 41088
107,4, 41088
107,5, 41088
107,6, 41088
107,7, 41088
107,8, 45248
107,9, 45248
108, 45248
108,1, 45248
108,2, 45248
108,3, 45248
108,4, 45248
108,5, 45248
108,6, 45248
108,7, 45248
108,8, 44928
108,9, 44928
109, 44928
109,1, 44928
109,2, 44928
109,3, 44928
109,4, 44928
109,5, 44928
109,6, 44928
109,7, 44928
109,8, 45248
109,9, 45248
110, 45248
110,1, 45248
110,2, 45248
110,3, 45248
110,4, 45248
110,5, 45248
110,6, 45248
110,7, 45248
110,8, 46080
110,9, 46080
111, 46080
111,1, 46080
111,2, 46080
111,3, 46080
111,4, 46080
111,5, 46080
111,6, 46080
111,7, 46080
111,8, 45440
111,9, 45440
112, 45440
112,1, 45440
112,2, 45440
112,3, 45440
112,4, 45440
112,5, 45440
112,6, 45440
112,7, 45440
112,8, 45568
112,9, 45568
113, 45568
113,1, 45568
113,2, 45568
113,3, 45568
113,4, 45568
113,5, 45568
113,6, 45568
113,7, 45568
113,8, 45760
113,9, 45760
114, 45760
114,1, 45760
114,2, 45760
114,3, 45760
114,4, 45760
114,5, 45760
114,6, 45760
114,7, 45760
114,8, 46720
114,9, 46720
115, 46720
115,1, 46720
115,2, 46720
115,3, 46720
115,4, 46720
115,5, 46720
115,6, 46720
115,7, 46720
115,8, 46848
115,9, 46848
116, 46848
116,1, 46848
116,2, 46848
116,3, 46848
116,4, 46848
116,5, 46848
116,6, 46848
116,7, 46848
116,8, 46016
116,9, 46016
117, 46016
117,1, 46016
117,2, 46016
117,3, 46016
117,4, 46016
117,5, 46016
117,6, 46016
117,7, 46016
117,8, 46208
117,9, 46208
118, 46208
118,1, 46208
118,2, 46208
118,3, 46208
118,4, 46208
118,5, 46208
118,6, 46208
118,7, 46208
118,8, 46144
118,9, 46144
119, 46144
119,1, 46144
119,2, 46144
119,3, 46144
119,4, 46144
119,5, 46144
119,6, 46144
119,7, 46144
119,8, 46336
119,9, 46336
120, 46336
120,1, 46336
120,2, 46336
120,3, 46336
120,4, 46336
120,5, 46336
120,6, 46336
120,7, 46336
120,8, 46272
120,9, 46272
121, 46272
121,1, 46272
121,2, 46272
121,3, 46272
121,4, 46272
121,5, 46272
121,6, 46272
121,7, 46272
121,8, 45952
121,9, 45952
122, 45952
122,1, 45952
122,2, 45952
122,3, 45952
122,4, 45952
122,5, 45952
122,6, 45952
122,7, 45952
122,8, 45248
122,9, 45248
123, 45248
123,1, 45248
123,2, 45248
123,3, 45248
123,4, 45248
123,5, 45248
123,6, 45248
123,7, 45248
123,8, 46720
123,9, 46720
124, 46720
124,1, 46720
124,2, 46720
124,3, 46720
124,4, 46720
124,5, 46720
124,6, 46720
124,7, 46720
124,8, 45632
124,9, 45632
125, 45632
125,1, 45632
125,2, 45632
125,3, 45632
125,4, 45632
125,5, 45632
125,6, 45632
125,7, 45632
125,8, 46144
125,9, 46144
126, 46144
126,1, 46144
126,2, 46144
126,3, 46144
126,4, 46144
126,5, 46144
126,6, 46144
126,7, 46144
126,8, 46528
126,9, 46528
127, 46528
127,1, 46528
127,2, 46528
127,3, 46528
127,4, 46528
127,5, 46528
127,6, 46528
127,7, 46528
127,8, 45312
127,9, 45312
128, 45312
128,1, 45312
128,2, 45312
128,3, 45312
128,4, 45312
128,5, 45312
128,6, 45312
128,7, 45312
128,8, 45312
128,9, 45312
129, 45312
129,1, 45312
129,2, 45312
129,3, 45312
129,4, 45312
129,5, 45312
129,6, 45312
129,7, 45312
129,8, 45760
129,9, 45760
130, 45760
130,1, 45760
130,2, 45760
130,3, 45760
130,4, 45760
130,5, 45760
130,6, 45760
130,7, 45760
130,8, 45760
130,9, 45760
131, 45760
131,1, 45760
131,2, 45760
131,3, 45760
131,4, 45760
131,5, 45760
131,6, 45760
131,7, 45760
131,8, 45248
131,9, 45248
132, 45248
132,1, 45248
132,2, 45248
132,3, 45248
132,4, 45248
132,5, 45248
132,6, 45248
132,7, 45248
132,8, 46272
132,9, 46272
133, 46272
133,1, 46272
133,2, 46272
133,3, 46272
133,4, 46272
133,5, 46272
133,6, 46272
133,7, 46272
133,8, 46400
133,9, 46400
134, 46400
134,1, 46400
134,2, 46400
134,3, 46400
134,4, 46400
134,5, 46400
134,6, 46400
134,7, 46400
134,8, 45504
134,9, 45504
135, 45504
135,1, 45504
135,2, 45504
135,3, 45504
135,4, 45504
135,5, 45504
135,6, 45504
135,7, 45504
135,8, 45696
135,9, 45696
136, 45696
136,1, 45696
136,2, 45696
136,3, 45696
136,4, 45696
136,5, 45696
136,6, 45696
136,7, 45696
136,8, 45760
136,9, 45760
137, 45760
137,1, 45760
137,2, 45760
137,3, 45760
137,4, 45760
137,5, 45760
137,6, 45760
137,7, 45760
137,8, 45440
137,9, 45440
138, 45440
138,1, 45440
138,2, 45440
138,3, 45440
138,4, 45440
138,5, 45440
138,6, 45440
138,7, 45440
138,8, 31040
138,9, 31040
139, 31040
139,1, 31040
139,2, 31040
139,3, 31040
139,4, 31040
139,5, 31040
139,6, 31040
139,7, 31040
139,8, 13888
139,9, 13888
140, 13888
140,1, 13888
140,2, 13888
140,3, 13888
140,4, 13888
140,5, 13888
140,6, 13888
140,7, 13888
140,8, 11200
140,9, 11200
141, 11200
141,1, 11200
141,2, 11200
141,3, 11200
141,4, 11200
141,5, 11200
141,6, 11200
141,7, 11200
141,8, 11648
141,9, 11648
142, 11648
142,1, 11648
142,2, 11648
142,3, 11648
142,4, 11648
142,5, 11648
142,6, 11648
142,7, 11648
142,8, 25600
142,9, 25600
143, 25600
143,1, 25600
143,2, 25600
143,3, 25600
143,4, 25600
143,5, 25600
143,6, 25600
143,7, 25600
143,8, 40960
143,9, 40960
144, 40960
144,1, 40960
144,2, 40960
144,3, 40960
144,4, 40960
144,5, 40960
144,6, 40960
144,7, 40960
144,8, 41472
144,9, 41472
145, 41472
145,1, 41472
145,2, 41472
145,3, 41472
145,4, 41472
145,5, 41472
145,6, 41472
145,7, 41472
145,8, 27072
145,9, 27072
146, 27072
146,1, 27072
146,2, 27072
146,3, 27072
146,4, 27072
146,5, 27072
146,6, 27072
146,7, 27072
146,8, 12864
146,9, 12864
147, 12864
147,1, 12864
147,2, 12864
147,3, 12864
147,4, 12864
147,5, 12864
147,6, 12864
147,7, 12864
147,8, 10944
147,9, 10944
148, 10944
148,1, 10944
148,2, 10944
148,3, 10944
148,4, 10944
148,5, 10944
148,6, 10944
148,7, 10944
148,8, 15232
148,9, 15232
149, 15232
149,1, 15232
149,2, 15232
149,3, 15232
149,4, 15232
149,5, 15232
149,6, 15232
149,7, 15232
149,8, 33088
149,9, 33088
150, 33088
150,1, 33088
150,2, 33088
150,3, 33088
150,4, 33088
150,5, 33088
150,6, 33088
150,7, 33088
150,8, 42496
150,9, 42496
151, 42496
151,1, 42496
151,2, 42496
151,3, 42496
151,4, 42624
151,5, 42624
151,6, 42624
151,7, 42624
151,8, 40640
151,9, 40640
152, 40640
152,1, 40640
152,2, 40640
152,3, 40640
152,4, 40640
152,5, 40640
152,6, 40640
152,7, 40640
152,8, 24448
152,9, 24448
